,hist,ensmean,ens5th,ens25th,ens75th,ens95th
1/1/2022,2.743643522,NA,NA,NA,NA,NA
2/1/2022,0.32737878,NA,NA,NA,NA,NA
3/1/2022,7.320709705,NA,NA,NA,NA,NA
4/1/2022,8.609937668,NA,NA,NA,NA,NA
5/1/2022,6.153780937,NA,NA,NA,NA,NA
6/1/2022,15.64673901,NA,NA,NA,NA,NA
7/1/2022,43.57842636,NA,NA,NA,NA,NA
8/1/2022,37.36548615,NA,NA,NA,NA,NA
9/1/2022,7.529968739,NA,NA,NA,NA,NA
10/1/2022,10.55345154,NA,NA,NA,NA,NA
11/1/2022,20.25624847,NA,NA,NA,NA,NA
12/1/2022,37.48402405,NA,NA,NA,NA,NA
13/1/2022,25.30312538,NA,NA,NA,NA,NA
14/1/2022,18.86738014,NA,NA,NA,NA,NA
15/1/2022,9.946342468,NA,NA,NA,NA,NA
16/1/2022,0.445205539,NA,NA,NA,NA,NA
17/1/2022,9.404626846,NA,NA,NA,NA,NA
18/1/2022,9.868107796,NA,NA,NA,NA,NA
19/1/2022,1.4604249,NA,NA,NA,NA,NA
20/1/2022,0.746577561,NA,NA,NA,NA,NA
21/1/2022,NA,NA,NA,NA,NA,NA
22/1/2022,0.456950396,NA,NA,NA,NA,NA
23/1/2022,0.542052269,NA,NA,NA,NA,NA
24/1/2022,0.836054683,NA,NA,NA,NA,NA
25/1/2022,0.801149547,NA,NA,NA,NA,NA
26/1/2022,26.40714645,NA,NA,NA,NA,NA
27/1/2022,5.840485573,NA,NA,NA,NA,NA
28/1/2022,6.600409031,NA,NA,NA,NA,NA
29/1/2022,9.232573509,NA,NA,NA,NA,NA
30/1/2022,18.98806763,NA,NA,NA,NA,NA
31/1/2022,5.39191103,NA,NA,NA,NA,NA
1/2/2022,2.858398438,NA,NA,NA,NA,NA
2/2/2022,1.299448252,NA,NA,NA,NA,NA
3/2/2022,2.348830223,NA,NA,NA,NA,NA
4/2/2022,5.133907318,NA,NA,NA,NA,NA
5/2/2022,3.231748581,NA,NA,NA,NA,NA
6/2/2022,1.251502156,NA,NA,NA,NA,NA
7/2/2022,0.336147934,NA,NA,NA,NA,NA
8/2/2022,0.513681352,NA,NA,NA,NA,NA
9/2/2022,0.529472291,NA,NA,NA,NA,NA
10/2/2022,1.39546752,NA,NA,NA,NA,NA
11/2/2022,10.7827034,NA,NA,NA,NA,NA
12/2/2022,5.220677376,NA,NA,NA,NA,NA
13/2/2022,0.250744551,NA,NA,NA,NA,NA
14/2/2022,0.16097194,NA,NA,NA,NA,NA
15/2/2022,NA,NA,NA,NA,NA,NA
16/2/2022,NA,NA,NA,NA,NA,NA
17/2/2022,0.188746095,NA,NA,NA,NA,NA
18/2/2022,0.298777223,NA,NA,NA,NA,NA
19/2/2022,0.127581611,NA,NA,NA,NA,NA
20/2/2022,0.151578248,NA,NA,NA,NA,NA
21/2/2022,0.16959466,NA,NA,NA,NA,NA
22/2/2022,0.315218627,NA,NA,NA,NA,NA
23/2/2022,0.11235965,NA,NA,NA,NA,NA
24/2/2022,0.11093194,NA,NA,NA,NA,NA
25/2/2022,0.182664722,NA,NA,NA,NA,NA
26/2/2022,0.323170662,NA,NA,NA,NA,NA
27/2/2022,0.411134064,NA,NA,NA,NA,NA
28/2/2022,0.213663921,NA,NA,NA,NA,NA
1/3/2022,0.131500766,NA,NA,NA,NA,NA
2/3/2022,9.144147873,NA,NA,NA,NA,NA
3/3/2022,5.07284832,NA,NA,NA,NA,NA
4/3/2022,0.80454129,NA,NA,NA,NA,NA
5/3/2022,1.278274536,NA,NA,NA,NA,NA
6/3/2022,1.365600705,NA,NA,NA,NA,NA
7/3/2022,0.540332615,NA,NA,NA,NA,NA
8/3/2022,2.623495102,NA,NA,NA,NA,NA
9/3/2022,5.313975334,NA,NA,NA,NA,NA
10/3/2022,3.20946312,NA,NA,NA,NA,NA
11/3/2022,0.50164485,NA,NA,NA,NA,NA
12/3/2022,0.306659251,NA,NA,NA,NA,NA
13/3/2022,1.736721277,NA,NA,NA,NA,NA
14/3/2022,4.177817822,NA,NA,NA,NA,NA
15/3/2022,9.09576416,NA,NA,NA,NA,NA
16/3/2022,32.77328491,NA,NA,NA,NA,NA
17/3/2022,22.00326538,NA,NA,NA,NA,NA
18/3/2022,3.054815531,NA,NA,NA,NA,NA
19/3/2022,0.144666314,NA,NA,NA,NA,NA
20/3/2022,0.31563738,NA,NA,NA,NA,NA
21/3/2022,0.364572853,NA,NA,NA,NA,NA
22/3/2022,0.155462563,NA,NA,NA,NA,NA
23/3/2022,0.272894591,NA,NA,NA,NA,NA
24/3/2022,1.028178215,NA,NA,NA,NA,NA
25/3/2022,8.888213158,NA,NA,NA,NA,NA
26/3/2022,12.1255188,NA,NA,NA,NA,NA
27/3/2022,0.763823748,NA,NA,NA,NA,NA
28/3/2022,0.742914677,NA,NA,NA,NA,NA
29/3/2022,0.856637061,NA,NA,NA,NA,NA
30/3/2022,3.415673256,NA,NA,NA,NA,NA
31/3/2022,0.26067555,NA,NA,NA,NA,NA
1/4/2022,0.45176667,NA,NA,NA,NA,NA
2/4/2022,0.274898559,NA,NA,NA,NA,NA
3/4/2022,0.321328044,NA,NA,NA,NA,NA
